,year_week,exit,brand,area_dedalo,year_release,order_quantity,release
16865,2019-11-17,201910,VE,MENA,2020 N1,1,N1
17583,2019-12-01,201910,AR,MENA,2020 N1,1,N1
17615,2019-12-01,201910,MK,MENA,2020 N1,1,N1
17627,2019-12-01,201910,OO,MENA,2020 N1,3,N1
17632,2019-12-01,201910,OV,MENA,2020 N1,136,N1
17644,2019-12-01,201910,PH,MENA,2020 N1,4,N1
17653,2019-12-01,201910,PR,MENA,2020 N1,1,N1
17657,2019-12-01,201910,PS,MENA,2020 N1,2,N1
17662,2019-12-01,201910,RA,MENA,2020 N1,5,N1
17676,2019-12-01,201910,RL,MENA,2020 N1,1,N1
17688,2019-12-01,201910,SH,MENA,2020 N1,4,N1
17692,2019-12-01,201910,TF,MENA,2020 N1,3,N1
17699,2019-12-01,201910,VE,MENA,2020 N1,4,N1
17706,2019-12-01,201910,VO,MENA,2020 N1,3,N1
18023,2019-12-08,201909,CH,MENA,2020 N1,10,N1
18039,2019-12-08,201910,AX,MENA,2020 N1,3,N1
18044,2019-12-08,201910,BE,MENA,2020 N1,6,N1
18050,2019-12-08,201910,BV,MENA,2020 N1,4,N1
18052,2019-12-08,201910,CH,MENA,2020 N1,13,N1
18058,2019-12-08,201910,DG,MENA,2020 N1,9,N1
18065,2019-12-08,201910,EA,MENA,2020 N1,9,N1
18081,2019-12-08,201910,MU,MENA,2020 N1,2,N1
18091,2019-12-08,201910,OO,MENA,2020 N1,2,N1
18106,2019-12-08,201910,OX,MENA,2020 N1,3,N1
18115,2019-12-08,201910,PH,MENA,2020 N1,3,N1
18128,2019-12-08,201910,PS,MENA,2020 N1,8,N1
18141,2019-12-08,201910,RB,MENA,2020 N1,13,N1
18149,2019-12-08,201910,RL,MENA,2020 N1,1,N1
18158,2019-12-08,201910,RX,MENA,2020 N1,8,N1
18170,2019-12-08,201910,TF,MENA,2020 N1,3,N1
18180,2019-12-08,201910,VE,MENA,2020 N1,1,N1
18188,2019-12-08,201910,VO,MENA,2020 N1,1,N1
18535,2019-12-15,201910,BV,MENA,2020 N1,110,N1
18550,2019-12-15,201910,EA,MENA,2020 N1,2,N1
18626,2019-12-15,201910,PS,MENA,2020 N1,6,N1
18640,2019-12-15,201910,RB,MENA,2020 N1,23,N1
18660,2019-12-15,201910,RX,MENA,2020 N1,3,N1
18678,2019-12-15,201910,VA,MENA,2020 N1,10,N1
18683,2019-12-15,201910,VE,MENA,2020 N1,6,N1
19012,2019-12-22,201910,DG,MENA,2020 N1,4,N1
19046,2019-12-22,201910,OO,MENA,2020 N1,1,N1
19131,2019-12-22,201910,VA,MENA,2020 N1,3,N1
19137,2019-12-22,201910,VE,MENA,2020 N1,18,N1
19381,2019-12-29,201910,AX,MENA,2020 N1,4,N1
19696,2020-01-05,201909,CH,MENA,2020 N1,70,N1
19702,2020-01-05,201910,AR,MENA,2020 N1,171,N1
19711,2020-01-05,201910,BE,MENA,2020 N1,155,N1
19717,2020-01-05,201910,BV,MENA,2020 N1,158,N1
19721,2020-01-05,201910,CH,MENA,2020 N1,70,N1
19727,2020-01-05,201910,DG,MENA,2020 N1,352,N1
19733,2020-01-05,201910,EA,MENA,2020 N1,410,N1
19743,2020-01-05,201910,MK,MENA,2020 N1,69,N1
19748,2020-01-05,201910,MU,MENA,2020 N1,37,N1
19758,2020-01-05,201910,OO,MENA,2020 N1,130,N1
19766,2020-01-05,201910,OV,MENA,2020 N1,3,N1
19771,2020-01-05,201910,OX,MENA,2020 N1,119,N1
19783,2020-01-05,201910,PR,MENA,2020 N1,222,N1
19789,2020-01-05,201910,PS,MENA,2020 N1,197,N1
19800,2020-01-05,201910,RB,MENA,2020 N1,473,N1
19807,2020-01-05,201910,RJ,MENA,2020 N1,38,N1
19811,2020-01-05,201910,RL,MENA,2020 N1,56,N1
19816,2020-01-05,201910,RX,MENA,2020 N1,323,N1
19821,2020-01-05,201910,RY,MENA,2020 N1,64,N1
19825,2020-01-05,201910,SH,MENA,2020 N1,58,N1
19830,2020-01-05,201910,TF,MENA,2020 N1,86,N1
19838,2020-01-05,201910,VE,MENA,2020 N1,146,N1
19844,2020-01-05,201910,VO,MENA,2020 N1,119,N1
19859,2020-01-12,201909,CH,MENA,2020 N1,632,N1
19864,2020-01-12,201910,A0,MENA,2020 N1,3,N1
19868,2020-01-12,201910,AN,MENA,2020 N1,147,N1
19874,2020-01-12,201910,AR,MENA,2020 N1,984,N1
19879,2020-01-12,201910,AX,MENA,2020 N1,355,N1
19887,2020-01-12,201910,BE,MENA,2020 N1,1047,N1
19899,2020-01-12,201910,BV,MENA,2020 N1,1409,N1
19906,2020-01-12,201910,CH,MENA,2020 N1,614,N1
19914,2020-01-12,201910,DG,MENA,2020 N1,2289,N1
19924,2020-01-12,201910,EA,MENA,2020 N1,2035,N1
19945,2020-01-12,201910,MK,MENA,2020 N1,387,N1
19951,2020-01-12,201910,MU,MENA,2020 N1,364,N1
19958,2020-01-12,201910,OJ,MENA,2020 N1,24,N1
19968,2020-01-12,201910,OO,MENA,2020 N1,441,N1
19979,2020-01-12,201910,OV,MENA,2020 N1,246,N1
19987,2020-01-12,201910,OX,MENA,2020 N1,466,N1
19993,2020-01-12,201910,OY,MENA,2020 N1,16,N1
20000,2020-01-12,201910,PH,MENA,2020 N1,481,N1
20006,2020-01-12,201910,PO,MENA,2020 N1,297,N1
20009,2020-01-12,201910,PP,MENA,2020 N1,14,N1
20016,2020-01-12,201910,PR,MENA,2020 N1,1225,N1
20026,2020-01-12,201910,PS,MENA,2020 N1,1133,N1
20033,2020-01-12,201910,RA,MENA,2020 N1,279,N1
20043,2020-01-12,201910,RB,MENA,2020 N1,5689,N1
20055,2020-01-12,201910,RJ,MENA,2020 N1,625,N1
20062,2020-01-12,201910,RL,MENA,2020 N1,229,N1
20071,2020-01-12,201910,RX,MENA,2020 N1,2515,N1
20082,2020-01-12,201910,RY,MENA,2020 N1,477,N1
20089,2020-01-12,201910,SH,MENA,2020 N1,116,N1
20097,2020-01-12,201910,TF,MENA,2020 N1,494,N1
20107,2020-01-12,201910,VA,MENA,2020 N1,178,N1
20115,2020-01-12,201910,VE,MENA,2020 N1,663,N1
20124,2020-01-12,201910,VO,MENA,2020 N1,1782,N1
20164,2020-01-19,201909,CH,MENA,2020 N1,153,N1
20181,2020-01-19,201910,AR,MENA,2020 N1,260,N1
20190,2020-01-19,201910,AX,MENA,2020 N1,550,N1
20201,2020-01-19,201910,BE,MENA,2020 N1,714,N1
20212,2020-01-19,201910,BV,MENA,2020 N1,725,N1
20220,2020-01-19,201910,CH,MENA,2020 N1,295,N1
20227,2020-01-19,201910,DG,MENA,2020 N1,998,N1
20237,2020-01-19,201910,EA,MENA,2020 N1,1382,N1
20259,2020-01-19,201910,MK,MENA,2020 N1,102,N1
20265,2020-01-19,201910,MU,MENA,2020 N1,293,N1
20284,2020-01-19,201910,OO,MENA,2020 N1,29,N1
20307,2020-01-19,201910,OX,MENA,2020 N1,31,N1
20316,2020-01-19,201910,OY,MENA,2020 N1,4,N1
20324,2020-01-19,201910,PH,MENA,2020 N1,556,N1
20329,2020-01-19,201910,PO,MENA,2020 N1,72,N1
20333,2020-01-19,201910,PP,MENA,2020 N1,70,N1
20342,2020-01-19,201910,PR,MENA,2020 N1,354,N1
20355,2020-01-19,201910,PS,MENA,2020 N1,194,N1
20374,2020-01-19,201910,RB,MENA,2020 N1,2476,N1
20388,2020-01-19,201910,RJ,MENA,2020 N1,567,N1
20394,2020-01-19,201910,RL,MENA,2020 N1,14,N1
20404,2020-01-19,201910,RX,MENA,2020 N1,1498,N1
20415,2020-01-19,201910,RY,MENA,2020 N1,643,N1
20423,2020-01-19,201910,SH,MENA,2020 N1,22,N1
20432,2020-01-19,201910,TF,MENA,2020 N1,40,N1
20442,2020-01-19,201910,VA,MENA,2020 N1,31,N1
20449,2020-01-19,201910,VE,MENA,2020 N1,553,N1
20458,2020-01-19,201910,VO,MENA,2020 N1,573,N1
20493,2020-01-26,201909,CH,MENA,2020 N1,24,N1
20500,2020-01-26,201910,A0,MENA,2020 N1,45,N1
20506,2020-01-26,201910,AN,MENA,2020 N1,136,N1
20513,2020-01-26,201910,AR,MENA,2020 N1,196,N1
