year_week,order_quantity
2019-11-17,1
2019-11-24,0
2019-12-01,168
2019-12-08,99
2019-12-15,160
2019-12-22,26
2019-12-29,4
2020-01-05,3526
2020-01-12,27656
2020-01-19,13199
2020-01-26,15176
2020-02-02,2842
2020-02-09,4607
2020-02-16,3059
2020-02-23,1329
2020-03-01,2786
2020-03-08,1543
2020-03-15,1342
2020-03-22,136
2020-03-29,138
2020-04-05,4
2020-04-12,49
2020-04-19,45
2020-04-26,2
2020-05-03,8
2020-05-10,68
2020-05-17,485
2020-05-24,128
2020-05-31,243
2020-06-07,268
2020-06-14,468
2020-06-21,319
2020-06-28,532
2020-07-05,1301
2020-07-12,640
2020-07-19,1039
2020-07-26,1076
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,103
2020-12-13,15
2020-12-20,4
2020-12-27,1
2021-01-03,113
2021-01-10,771
2021-01-17,336
2021-01-24,6215
2021-01-31,19697
2021-02-07,2338
2021-02-14,2024
2021-02-21,2568
2021-02-28,11609
2021-03-07,6504
2021-03-14,3712
2021-03-21,5847
2021-03-28,23278
2021-04-04,5455
2021-04-11,8678
2021-04-18,3904
2021-04-25,8663
2021-05-02,10603
2021-05-09,583
2021-05-16,3295
2021-05-23,6069
2021-05-30,19373
2021-06-06,2924
2021-06-13,3280
2021-06-20,1195
2021-06-27,2201
2021-07-04,6309
2021-07-11,2820
2021-07-18,2178
2021-07-25,1158
2021-08-01,1576
2021-08-08,1031
2021-08-15,3279
2021-08-22,2466
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,1
2022-01-02,6
2022-01-09,12
2022-01-16,75
2022-01-23,41
2022-01-30,23456
2022-02-06,6521
2022-02-13,8384
2022-02-20,3364
2022-02-27,18882
2022-03-06,14867
2022-03-13,3948
2022-03-20,1929
2022-03-27,951
2022-04-03,30116
2022-04-10,6361
2022-04-17,2810
2022-04-24,5156
2022-05-01,1346
2022-05-08,7322
2022-05-15,8012
2022-05-22,13361
2022-05-29,4742
2022-06-05,8060
2022-06-12,3344
2022-06-19,2261
2022-06-26,10385
2022-07-03,2106
2022-07-10,1116
2022-07-17,2146
2022-07-24,2551
2022-07-31,6608
2022-08-07,3708
2022-08-14,2083
2022-08-21,2882
2022-08-28,2925
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,1
2022-11-13,0
2022-11-20,0
2022-11-27,2
2022-12-04,45
2022-12-11,0
2022-12-18,1
2022-12-25,0
2023-01-01,4
2023-01-08,6
2023-01-15,100
2023-01-22,4222
2023-01-29,141
2023-02-05,15005
2023-02-12,39541
2023-02-19,9752
2023-02-26,19910
2023-03-05,5210
2023-03-12,5795
2023-03-19,1555
2023-03-26,2673
2023-04-02,3764
2023-04-09,8234
2023-04-16,10821
2023-04-23,4891
2023-04-30,4768
2023-05-07,4116
2023-05-14,4895
2023-05-21,6650
2023-05-28,4610
2023-06-04,16546
2023-06-11,5479
2023-06-18,5072
2023-06-25,1661
2023-07-02,4616
2023-07-09,2381
2023-07-16,1684
2023-07-23,4406
2023-07-30,2957
2023-08-06,3005
2023-08-13,1150
2023-08-20,744
2023-08-27,1044
